"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"TVSSRICHAK","2451.70","4599.00","3343.92","-2.23","-10.05","-15.61","-17.91","-20.15","2592.99","2564.32","2691.12","2665.58","2743.57","2713.16","2798.75","2773.68","2846.34","2825.10","2912.24","2928.81","3251.35","3105.46","2968.62","2518.51","2743.57","-85.69","-57.55","-28.14","33.11","7.40","30.17","18.48","6.54","22.83","-104.17","2720.35","92.95","88.25","-99.16","-0.17","0.00","0.00","-453.60","","2018-10-05"
"TVTODAY","400.75","23727.00","70085.96","-0.91","-1.34","-11.23","-1.44","13.46","404.42","404.53","411.23","411.54","420.12","416.65","429.55","422.54","427.94","426.46","433.95","431.99","448.14","423.98","453.46","386.78","420.12","-9.02","-7.25","-1.77","17.06","15.19","22.42","39.14","47.73","44.16","-64.90","414.54","6.50","15.09","-83.03","-0.06","21.03","61.17","-50.70","","2018-10-05"
"TVVISION","4.85","6892.00","50538.78","-1.02","-5.83","-19.17","-32.64","-95.95","4.86","4.93","5.26","5.20","5.53","5.37","5.75","5.61","5.59","5.98","6.69","7.97","12.38","21.19","6.51","4.55","5.53","-0.31","-0.22","-0.08","22.40","11.14","26.11","33.18","42.84","29.49","-30.70","5.64","0.30","0.37","-82.35","-0.59","81.81","72.15","-1.15","","2018-10-05"
"TWL","68.25","455539.00","506022.62","-4.21","-8.94","-22.31","-26.97","-43.34","70.54","71.11","76.45","75.45","80.01","78.10","83.64","81.44","85.18","84.19","89.09","90.43","113.85","108.44","93.75","66.28","80.01","-4.77","-3.59","-1.17","30.99","12.90","34.93","26.04","35.85","35.24","-94.29","80.74","4.65","4.46","-94.96","-0.27","43.26","74.32","-19.60","","2018-10-05"
"UBL","1135.25","876797.00","865522.38","-8.47","-19.88","-17.82","-2.82","33.38","1269.69","1247.30","1317.99","1299.09","1316.80","1308.71","1344.74","1303.35","1279.22","1287.13","1242.95","1246.90","1152.60","1155.21","1434.66","1198.93","1316.80","-12.42","9.28","-21.70","22.00","13.45","35.96","29.72","11.75","18.30","-132.64","1452.89","156.55","71.56","-86.57","0.25","0.00","0.00","-246.15","","2018-10-05"
"UBL-1M","1137.05","1262100.00","1828918.00","-8.57","-19.36","-18.01","-2.81","33.50","1275.09","1250.52","1320.15","1302.11","1320.35","1311.79","1348.40","1306.39","1282.10","1290.07","1245.36","1249.69","1155.18","1158.02","1435.56","1205.14","1320.35","-12.48","9.14","-21.62","21.84","14.61","33.59","29.37","8.02","17.20","-129.01","1457.03","122.55","68.60","-95.43","0.25","0.00","0.00","-249.75","","2018-10-05"
"UBL-2M","1140.60","19600.00","347312.00","-9.05","-19.75","-18.20","2.82","44.71","1279.46","1256.05","1326.64","1308.57","1328.57","1318.63","1355.68","1313.32","1287.87","1296.67","1250.13","1255.26","1158.71","1164.71","1445.53","1211.60","1328.57","-13.06","9.01","-22.07","20.66","16.86","38.81","29.34","5.13","13.23","-128.79","1459.71","115.55","59.96","-99.37","0.25","0.00","0.00","-253.75","","2018-10-05"
"UCALFUEL","174.30","25353.00","46452.26","-4.07","-10.32","-29.29","-12.30","-3.89","181.78","182.86","203.05","197.90","216.20","205.45","220.24","211.71","216.19","214.73","216.16","220.03","246.52","226.85","268.61","163.79","216.20","-12.62","-6.92","-5.70","36.99","13.73","42.05","23.12","23.61","23.29","-136.16","210.59","12.45","9.65","-95.53","0.01","0.00","6.34","-72.20","","2018-10-05"
"UCL","61.25","8000.00","","-0.89","-4.30","-7.76","0.00","0.00","61.99","62.29","64.73","64.22","66.31","65.47","","","","","","","","","72.81","59.80","66.31","","","","","23.48","27.39","34.71","32.55","27.83","-45.27","68.28","1.50","2.60","-87.77","","50.43","70.90","-5.15","","2018-10-05"
"UCOBANK","16.70","299345.00","921560.92","-1.76","-5.65","-19.13","-7.48","-44.15","16.85","17.00","17.93","17.72","18.51","18.14","18.99","18.56","19.09","18.79","18.98","19.42","22.47","22.80","20.97","16.05","18.51","-0.72","-0.49","-0.23","22.98","17.78","31.09","31.67","42.56","36.54","-37.95","19.77","0.55","0.83","-88.98","-0.03","21.53","32.03","-3.95","","2018-10-05"
"UFLEX","282.85","58816.00","160369.54","-2.83","-5.61","-8.77","11.51","-34.01","290.68","291.43","306.92","301.00","310.75","304.25","312.94","304.28","301.21","302.60","291.25","305.29","342.26","345.30","344.14","277.36","310.75","-4.66","-0.07","-4.59","21.02","17.79","29.60","39.31","29.93","31.66","-126.02","338.68","11.00","17.42","-93.76","0.18","0.00","22.49","-27.20","","2018-10-05"
"UFO","289.50","12429.00","29242.44","-2.39","-8.36","-20.91","-18.62","-24.95","300.55","300.77","322.70","319.13","339.51","329.98","351.64","342.66","361.15","350.52","362.77","362.02","401.74","389.59","398.43","280.60","339.51","-19.29","-14.18","-5.11","34.78","8.14","35.36","20.26","8.63","13.51","-123.32","327.53","11.40","12.60","-99.14","-0.14","0.00","6.96","-76.55","","2018-10-05"
"UGARSUGAR","13.80","25631.00","206183.58","-0.72","-7.38","5.34","2.99","-40.65","13.84","14.02","15.35","14.46","14.71","14.45","14.04","14.24","13.69","14.13","13.85","14.47","17.32","17.36","18.26","11.17","14.71","0.09","0.37","-0.28","22.66","29.78","23.65","46.59","25.94","17.41","-10.56","19.35","1.15","1.17","-90.00","0.12","42.58","25.29","0.70","","2018-10-05"
"UJAAS","8.55","148400.00","313119.72","0.00","-7.07","-20.09","-23.32","-62.91","8.54","8.66","9.30","9.16","9.69","9.49","10.09","9.93","10.45","10.39","11.13","11.65","16.30","15.54","11.24","8.14","9.69","-0.59","-0.46","-0.13","22.35","9.83","22.33","26.21","33.73","26.68","-26.32","9.15","0.45","0.72","-81.25","-0.41","100.00","52.25","-2.15","","2018-10-05"
"UJJIVAN","239.40","984390.00","1219972.46","-4.91","-8.50","-31.95","-37.37","-23.95","250.50","252.35","277.92","274.32","297.49","289.46","320.40","310.31","339.75","325.42","359.71","344.76","371.08","358.78","368.42","226.56","297.49","-27.81","-23.17","-4.65","49.79","8.25","45.69","20.37","36.03","37.74","-154.41","282.55","21.40","16.85","-91.19","-0.39","49.43","73.42","-112.40","","2018-10-05"
"UJJIVAN-1M","240.85","2489600.00","3615648.00","-4.06","-8.16","-31.93","-37.25","-23.58","251.34","253.09","278.34","275.02","298.33","290.23","321.38","311.18","340.84","326.35","360.60","345.73","372.09","359.80","369.92","226.73","298.33","-27.94","-23.34","-4.60","49.52","8.29","47.05","21.08","41.15","41.80","-139.81","274.06","21.70","17.07","-87.13","-0.39","51.97","72.13","-113.00","","2018-10-05"
"UJJIVAN-2M","240.85","35200.00","694592.00","-4.29","-8.56","-32.10","-37.02","-27.40","251.36","253.34","279.12","275.72","299.27","291.29","322.88","312.69","343.02","328.11","362.82","347.67","374.01","361.78","371.75","226.80","299.27","-28.59","-23.91","-4.68","50.80","10.13","55.64","19.20","33.63","34.43","-135.27","265.30","17.70","14.48","-92.51","-0.39","48.53","74.13","-113.85","","2018-10-05"
"ULTRACEMCO","3793.80","380282.00","322676.78","-3.80","-7.93","-13.26","1.17","-1.94","3919.58","3905.82","4005.61","3997.55","4060.07","4046.19","4176.20","4087.40","4176.22","4090.43","4004.54","4069.81","4074.00","4097.99","4280.87","3839.28","4060.07","-82.52","-55.37","-27.15","24.60","11.98","23.13","34.47","18.81","23.60","-93.62","4166.00","175.15","131.41","-94.32","0.08","0.00","15.13","-579.75","","2018-10-05"
"ULTRACEMCO-1M","3804.40","692600.00","701520.00","-3.65","-7.46","-13.56","1.09","-1.58","3932.29","3916.38","4014.93","4008.10","4072.44","4056.76","4186.40","4097.17","4184.42","4099.19","4009.11","4077.24","4080.03","4106.19","4293.14","3851.75","4072.44","-82.30","-54.84","-27.46","25.60","12.26","23.67","32.99","18.60","24.67","-89.69","4163.39","166.40","127.40","-94.90","0.08","0.00","14.89","-596.55","","2018-10-05"
"ULTRACEMCO-2M","3821.45","7800.00","205940.00","-3.63","-7.39","-13.42","1.36","-2.77","3951.60","3934.26","4032.22","4025.63","4089.91","4074.02","4203.44","4113.87","4200.46","4115.28","4022.37","4092.49","4095.93","4124.46","4311.09","3868.72","4089.91","-81.76","-54.34","-27.42","21.36","18.36","24.16","32.86","17.17","24.05","-89.52","4179.49","154.50","119.48","-97.28","0.08","0.00","14.30","-592.10","","2018-10-05"
"UMANGDAIRY","61.35","8234.00","30647.86","-2.23","-6.83","-23.65","-20.84","-7.67","61.86","62.71","66.17","65.73","69.06","67.85","71.72","70.80","75.23","73.07","77.76","76.39","83.77","78.45","79.32","58.81","69.06","-3.90","-3.27","-0.64","32.97","11.26","31.91","31.09","41.81","36.17","32.04","70.24","6.60","3.45","-85.31","-0.28","66.96","85.27","-19.00","","2018-10-05"
